,Blank,Blank1,Ground,Inns,Opposition,Overs,RPO,Result,Score,Start Date,Team
6098,,v Pakistan,12 Sep 2003,2,Faisalabad,42.1,4.00,lost,169,,Bangladesh
6099,,v India,19 Nov 2005,1,Bengaluru,50.0,3.38,lost,169/9,,South Africa
6100,,v England,2 Sep 2006,2,Lord's,36.4,4.60,won,169/3,,Pakistan
6101,,v Australia,21 Oct 2006,1,Jaipur,45.0,3.75,lost,169,,England
6102,,v India,24 Jan 2007,2,Cuttack,48.2,3.49,lost,169,,West Indies
6103,,v Ireland,15 Apr 2007,2,Bridgetown,41.2,4.08,lost,169,,Bangladesh
6104,,v England,4 Oct 2007,2,Dambulla,44.3,3.79,lost,169,,Sri Lanka
6105,,v Bermuda,28 Oct 2007,2,Nairobi (Gym),36.2,4.65,won,169/9,,Kenya
6106,,v South Africa,25 Jan 2008,2,Cape Town,48.2,3.49,lost,169,,West Indies
6107,,v Pakistan,1 Aug 2009,2,Dambulla,43.4,3.87,won,169/4,,Sri Lanka
6108,,v Canada,5 Jul 2010,2,Rotterdam,42.4,3.96,won,169/3,,Netherlands
6109,,v New Zealand,16 Jun 2013,1,Cardiff,23.3,7.19,won,169,,England
6110,,v West Indies,19 Jan 1982,2,Sydney,43.1,3.89,won,168/7,,Australia
6111,,v Australia,26 Jan 1982,2,Sydney,42.5,3.92,lost,168,,West Indies
6112,,v Sri Lanka,19 Mar 1983,2,Napier,36.4,4.58,won,168/3,,New Zealand
6113,,v Sri Lanka,13 Apr 1983,1,Colombo (PSS),45.0,3.73,lost,168/9,,Australia
6114,,v West Indies,31 May 1984,2,Manchester,50.0,3.36,lost,168,,England
6115,,v India,2 Feb 1986,2,Launceston,45.0,3.73,lost,168/9,,New Zealand
6116,,v Australia,2 Jan 1988,2,Perth,44.2,3.78,lost,168,,Sri Lanka
6117,,v Australia,24 Jan 1988,1,Sydney,38.0,4.42,lost,168/5,,New Zealand
6118,,v West Indies,13 Nov 1990,1,Multan,40.0,4.20,won,168/9,,Pakistan
6119,,v South Africa,5 Mar 1996,2,Rawalpindi,50.0,3.36,lost,168/8,,Netherlands
6120,,,,,,,,,,,
6121,,v Zimbabwe,15 Feb 1997,1,Bulawayo,43.5,3.83,lost,168,,India
6122,,v Pakistan,4 Apr 1999,2,Bengaluru,42.1,3.98,lost,168,,India
6123,,v Zimbabwe,25 May 1999,2,Nottingham,38.3,4.36,won,168/3,,England
6124,,v India,22 Mar 2000,2,Sharjah,29.2,5.72,won,168/0,,South Africa
6125,,v South Africa,28 Mar 2000,1,Sharjah,49.2,3.40,won,168,,Pakistan
6126,,v South Africa,11 Jul 2000,2,Colombo (SSC),27.3,6.10,won,168/2,,Sri Lanka
6127,,v Australia,15 Jun 2002,2,Melbourne (Docklands),48.5,3.44,won,168/8,,Pakistan
6128,,v India,8 Jan 2003,1,Wellington,42.4,3.93,lost,168,,New Zealand
6129,,v India,26 Feb 2003,2,Durban,45.3,3.69,lost,168,,England
6130,,v Pakistan,10 Apr 2003,1,Sharjah,49.1,3.41,lost,168,,Zimbabwe
6131,,v South Africa,17 Apr 2003,2,Dhaka,49.0,3.42,lost,168,,Bangladesh
6132,,v Sri Lanka,16 Oct 2004,2,Lahore,38.0,4.42,lost,168,,Pakistan
6133,,v Bangladesh,12 Aug 2006,1,Nairobi (Gym),49.1,3.41,lost,168,,Kenya
6134,,v South Africa,26 Nov 2006,2,Cape Town,41.3,4.04,lost,168,,India
6135,,v Australia,20 Dec 2007,2,Hobart,34.0,4.94,lost,168,,New Zealand
6136,,v New Zealand,13 Feb 2009,1,Brisbane,22.0,7.63,n/r,168/4,,Australia
6137,,v Pakistan,22 Apr 2009,1,Dubai (DSC),38.5,4.32,lost,168,,Australia
6138,,v Sri Lanka,1 Aug 2009,1,Dambulla,47.0,3.57,lost,168,,Pakistan
6139,,v Sri Lanka,12 Sep 2009,2,Colombo (RPS),37.2,4.50,lost,168,,India
6140,,v Bangladesh,16 Jun 2010,2,Dambulla,30.4,5.47,won,168/4,,India
6141,,v Netherlands,5 Jul 2010,1,Rotterdam,49.1,3.41,lost,168,,Canada
6142,,v Bangladesh,15 Jul 2015,1,Chittagong,40.0,4.20,lost,168/9,,South Africa
6143,,v India,11 Jun 2016,1,Harare,49.5,3.37,lost,168,,Zimbabwe
6144,,v Australia,9 Oct 2016,2,Port Elizabeth,35.3,4.73,won,168/4,,South Africa
6145,,v New Zealand,20 Jul 1973,1,Manchester,48.3,3.44,n/r,167/8,,England
6146,,v New Zealand,19 Mar 1983,1,Napier,50.0,3.34,lost,167/8,,Sri Lanka
6147,,v India,7 Apr 1983,2,St George's,40.2,4.14,won,167/3,,West Indies
6148,,v New Zealand,12 Jan 1985,2,Napier,50.0,3.34,lost,167/9,,Pakistan
6149,,v Pakistan,7 Jan 1987,2,Perth,40.1,4.15,won,167/5,,England
6150,,v Pakistan,18 Nov 1987,2,Lahore,44.3,3.75,won,167/8,,England
6151,,v Sri Lanka,16 Jan 1988,2,Brisbane,37.1,4.49,won,167/6,,New Zealand
6152,,v Pakistan,15 Mar 1988,2,St John's,37.1,4.49,won,167/5,,West Indies
6153,,v Australia,13 Feb 1990,2,Sydney,48.3,3.44,won,167/5,,Pakistan
6154,,v Australia,10 Mar 1990,2,Auckland,34.5,4.79,lost,167/2,,New Zealand
6155,,v England,15 Mar 1990,2,Georgetown,40.2,4.14,won,167/3,,West Indies
6156,,v New Zealand,18 Mar 1992,2,Christchurch,44.4,3.73,won,167/3,,Pakistan
6157,,v Pakistan,4 Feb 1993,2,Sharjah,41.0,4.07,lost,167/7,,Sri Lanka
6158,,v Zimbabwe,2 Dec 1994,2,Perth,47.2,3.52,won,167/8,,Australia
6159,,v West Indies,22 Jan 1995,1,Auckland,37.0,4.51,lost,167/6,,New Zealand
6160,,v New Zealand,27 Feb 1996,2,Faisalabad,47.0,3.55,lost,167/9,,U.A.E.
6161,,v Pakistan,20 May 1999,2,Chester-le-Street,38.5,4.30,lost,167,,Scotland
6162,,v England,25 May 1999,1,Nottingham,50.0,3.34,lost,167/8,,Zimbabwe
6163,,v India,27 Mar 2000,2,Sharjah,42.4,3.91,won,167/4,,South Africa
6164,,v Sri Lanka,11 Jul 2000,1,Colombo (SSC),49.2,3.38,lost,167,,South Africa
6165,,v Pakistan,15 Jun 2002,1,Melbourne (Docklands),45.4,3.65,lost,167,,Australia
6166,,v Bangladesh,29 Jul 2004,2,Colombo (RPS),41.0,4.07,won,167/4,,Pakistan
6167,,v New Zealand,7 Nov 2004,2,Dhaka,50.0,3.34,lost,167/7,,Bangladesh
6168,,v Pakistan,23 Jan 2005,2,Sydney,36.2,4.59,won,167/1,,Australia
6169,,v Kenya,28 Oct 2007,1,Nairobi (Gym),46.4,3.57,lost,167,,Bermuda
6170,,v Zimbabwe,10 Jan 2009,2,Dhaka,46.2,3.60,lost,167,,Bangladesh
6171,,,,,,,,,,,
6172,,v India,16 Jun 2010,1,Dambulla,34.5,4.79,lost,167,,Bangladesh
6173,,v Pakistan,6 Jan 2013,1,Delhi,43.4,3.82,won,167,,India
6174,,v South Africa,10 Jun 2013,2,Birmingham,45.0,3.71,lost,167,,Pakistan
6175,,v South Africa,26 Jul 2013,2,Pallekele,43.2,3.85,lost,167,,Sri Lanka
6176,,v Zimbabwe,3 Aug 2013,2,Bulawayo,34.0,4.91,won,167/3,,India
6177,,v Sri Lanka,17 Feb 2014,2,Dhaka,39.2,4.24,lost,167,,Bangladesh
6178,,v Scotland,9 May 2014,1,Aberdeen,20.0,8.35,won,167/6,,England
6179,,v South Africa,12 Jul 2015,2,Dhaka,27.4,6.03,won,167/3,,Bangladesh
6180,,v South Africa,9 Oct 2016,1,Port Elizabeth,36.4,4.55,lost,167,,Australia
6181,,v India,1 Oct 1978,2,Quetta,40.0,4.15,lost,166/8,,Pakistan
6182,,v West Indies,7 Apr 1983,1,St George's,44.4,3.71,lost,166,,India
6183,,v India,2 Oct 1983,1,Jaipur,46.0,3.60,lost,166/9,,Pakistan
6184,,v Australia,21 Jan 1984,2,Melbourne,45.0,3.68,lost,166,,Pakistan
6185,,v England,31 Mar 1986,2,Port of Spain,38.2,4.33,won,166/2,,West Indies
6186,,v England,7 Jan 1987,1,Perth,50.0,3.32,lost,166/9,,Pakistan
6187,,v England,18 Nov 1987,1,Lahore,41.3,4.00,lost,166,,Pakistan
6188,,v India,2 Jan 1988,2,Kolkata,41.5,3.96,lost,166,,West Indies
6189,,v West Indies,15 Mar 1988,1,St John's,46.0,3.60,lost,166/9,,Pakistan
6190,,v India,30 Oct 1989,2,Mumbai,42.1,3.93,won,166/2,,West Indies
6191,,v West Indies,15 Mar 1990,1,Georgetown,49.0,3.38,lost,166/9,,England
6192,,v Pakistan,18 Mar 1992,1,Christchurch,48.2,3.43,lost,166,,New Zealand
6193,,v Sri Lanka,4 Dec 1992,1,Colombo (RPS),50.0,3.32,n/r,166/9,,New Zealand
6194,,v Australia,19 Jan 1994,2,Melbourne,47.5,3.47,lost,166,,New Zealand
6195,,v South Africa,16 Oct 1994,2,Karachi,44.4,3.71,won,166/2,,Pakistan
6196,,v Australia,2 Dec 1994,1,Perth,50.0,3.32,lost,166/9,,Zimbabwe
6197,,v West Indies,29 Feb 1996,1,Pune,49.3,3.35,won,166,,Kenya
6198,,v South Africa,16 Jan 1998,2,Perth,45.1,3.67,lost,166,,New Zealand
6199,,v Pakistan,5 Jul 2000,2,Galle,37.3,4.42,won,166/5,,Sri Lanka
6200,,v Zimbabwe,11 Dec 2000,2,Kanpur,25.0,6.64,won,166/1,,India
6201,,v England,27 Mar 2001,2,Colombo (SSC),33.5,4.90,won,166/0,,Sri Lanka
6202,,v West Indies,18 May 2003,2,Kingston,35.1,4.72,won,166/2,,Australia
6203,,v Pakistan,29 Jul 2004,1,Colombo (RPS),45.2,3.66,lost,166,,Bangladesh
6204,,v Sri Lanka,31 Dec 2005,2,Queenstown,37.2,4.44,won,166/3,,New Zealand
6205,,v Pakistan,2 Sep 2006,1,Lord's,39.1,4.23,lost,166,,England
6206,,v New Zealand,20 Oct 2006,2,Mumbai (BS),36.0,4.61,won,166/3,,Sri Lanka
6207,,v England,23 Nov 2008,1,Bengaluru,22.0,7.54,won,166/4,,India
6208,,v Sri Lanka,24 Nov 2008,2,Harare,28.0,5.92,lost,166/7,,Zimbabwe
6209,,v Scotland,7 Jul 2010,2,Rotterdam,48.4,3.41,lost,166,,Kenya
6210,,v Zimbabwe,4 Mar 2011,2,Ahmedabad,33.3,4.95,won,166/0,,New Zealand
6211,,v Netherlands,14 Mar 2011,2,Chittagong,41.2,4.01,won,166/4,,Bangladesh
6212,,v Scotland,8 Sep 2013,2,Belfast,33.0,5.03,won,166/3,,Ireland
6213,,v Australia,1 Feb 2015,2,Perth,39.1,4.23,lost,166,,England
6214,,v Zimbabwe,27 Nov 2016,2,Bulawayo,37.3,4.42,won,166/4,,Sri Lanka
6215,,v New Zealand,11 Feb 1973,2,Christchurch,33.3x8,3.70,lost,165,,Pakistan
6216,,v Pakistan,16 Jun 1979,1,Leeds,60.0,2.75,won,165/9,,England
6217,,v Australia,8 Jun 1981,2,Leeds,46.5,3.52,lost,165,,England
6218,,v West Indies,29 Jan 1984,1,Adelaide,50.0,3.30,lost,165/7,,Australia
6219,,v Australia,3 Mar 1985,2,Melbourne,36.1,4.56,won,165/2,,India
6220,,v West Indies,31 Mar 1986,1,Port of Spain,47.0,3.51,lost,165/9,,England
6221,,v Pakistan,17 Oct 1986,2,Peshawar,45.3,3.62,won,165/6,,West Indies
6222,,,,,,,,,,,
6223,,v West Indies,30 Nov 1986,2,Sharjah,45.0,3.66,lost,165/8,,India
6224,,v Sri Lanka,2 Dec 1986,2,Sharjah,44.0,3.75,won,165/6,,Pakistan
6225,,v Pakistan,30 Dec 1986,2,Perth,46.2,3.56,lost,165,,West Indies
6226,,v West Indies,30 Oct 1989,1,Mumbai,48.5,3.37,lost,165,,India
6227,,v Pakistan,13 Feb 1990,1,Sydney,50.0,3.30,lost,165/8,,Australia
6228,,v New Zealand,6 Feb 1991,2,Dunedin,33.1,4.97,lost,165,,Sri Lanka
6229,,v England,20 Aug 1992,2,Nottingham,46.1,3.57,lost,165,,Pakistan
6230,,v India,13 Dec 1992,2,Johannesburg,48.3,3.40,won,165/4,,South Africa
6231,,v Zimbabwe,2 Mar 1993,2,Harare,47.2,3.48,won,165/3,,Pakistan
6232,,v West Indies,20 Jan 1997,1,Melbourne,48.3,3.40,won,165,,Pakistan
6233,,v South Africa,18 Jan 1998,1,Perth,48.2,3.41,lost,165,,Australia
6234,,v West Indies,11 Apr 1999,2,Kingstown,41.5,3.94,lost,165,,Australia
6235,,v West Indies,11 Sep 1999,2,Toronto,37.3,4.40,won,165/2,,India
6236,,v India,11 Dec 2000,1,Kanpur,45.4,3.61,lost,165,,Zimbabwe
6237,,v Sri Lanka,27 Mar 2001,1,Colombo (SSC),50.0,3.30,lost,165/9,,England
6238,,v Pakistan,7 Jun 2001,2,Birmingham,47.2,3.48,lost,165,,England
6239,,v India,24 Oct 2001,2,Paarl,50.0,3.30,lost,165/5,,Kenya
6240,,v New Zealand,26 Jan 2002,2,Adelaide,45.2,3.63,lost,165,,Australia
6241,,v Pakistan,19 Jun 2002,2,Brisbane,40.0,4.12,lost,165,,Australia
6242,,v England,9 Jul 2002,2,The Oval,29.1,5.65,lost,165,,India
6243,,v Pakistan,18 Jul 2004,2,Colombo (SSC),44.1,3.73,lost,165,,Hong Kong
6244,,v Sri Lanka,20 Oct 2006,1,Mumbai (BS),49.2,3.34,lost,165,,New Zealand
6245,,v Ireland,3 Apr 2007,2,Providence,31.3,5.23,won,165/3,,South Africa
6246,,v Scotland,12 Jul 2007,2,Dublin,29.5,5.53,won,165/6,,West Indies
6247,,v England,12 Feb 2008,2,Hamilton,18.1,9.08,won,165/0,,New Zealand
6248,,v Netherlands,8 Aug 2008,1,Amstelveen,40.0,4.12,lost,165/7,,Bermuda
6249,,v Zimbabwe,14 Mar 2010,2,Kingstown,27.4,5.96,won,165/6,,West Indies
6250,,v England,6 Mar 2011,2,Chennai,47.4,3.46,lost,165,,South Africa
6251,,v Australia,26 Feb 2012,2,Sydney,39.3,4.17,lost,165,,India
6252,,v Pakistan,3 Jan 2013,2,Kolkata,48.0,3.43,lost,165,,India
6253,,v India,15 Jun 2013,1,Birmingham,39.4,4.15,lost,165,,Pakistan
6254,,v Ireland,8 Sep 2013,1,Belfast,49.3,3.33,lost,165,,Scotland
6255,,v South Africa,21 Aug 2014,1,Bulawayo,39.5,4.14,lost,165,,Zimbabwe
6256,,v West Indies,16 Nov 2016,2,Harare,43.1,3.82,lost,165,,Sri Lanka
6257,,v Australia,14 Jan 1980,2,Sydney,48.5,3.35,won,164/8,,England
6258,,v England,20 Dec 1981,2,Jalandhar,35.3,4.61,won,164/4,,India
6259,,v Australia,6 Feb 1983,2,Perth,44.5,3.65,lost,164,,New Zealand
6260,,v Pakistan,26 Mar 1984,2,Karachi,38.4,4.24,won,164/4,,England
6261,,v India,12 Jan 1986,2,Brisbane,45.2,3.61,won,164/6,,Australia
6262,,v West Indies,17 Oct 1986,1,Peshawar,49.0,3.34,lost,164/7,,Pakistan
6263,,v Pakistan,2 Dec 1986,1,Sharjah,45.0,3.64,lost,164/7,,Sri Lanka
6264,,v New Zealand,16 Jan 1988,1,Brisbane,39.0,4.20,lost,164/8,,Sri Lanka
6265,,v New Zealand,11 Mar 1990,2,Auckland,39.1,4.18,won,164/2,,Australia
6266,,v Australia,12 Dec 1991,2,Melbourne,49.1,3.33,lost,164,,West Indies
6267,,v Zimbabwe,10 Mar 1992,2,Canberra,45.1,3.63,won,164/3,,South Africa
6268,,v Australia,6 Dec 1992,2,Perth,38.3,4.25,won,164/1,,West Indies
6269,,v Pakistan,2 Mar 1993,1,Harare,49.1,3.33,lost,164,,Zimbabwe
6270,,v Australia,13 Sep 1994,2,Colombo (PSS),34.4,4.73,won,164/4,,Sri Lanka
6271,,v Bangladesh,5 Apr 1995,2,Sharjah,27.5,5.89,won,164/1,,India
6272,,v South Africa,22 Mar 2000,1,Sharjah,45.2,3.61,lost,164,,India
6273,,,,,,,,,,,
6274,,v South Africa,27 Mar 2000,1,Sharjah,48.5,3.35,lost,164,,India
6275,,v Sri Lanka,5 Jul 2000,1,Galle,45.0,3.64,lost,164/8,,Pakistan
6276,,v South Africa,16 May 2001,2,Kingstown,44.2,3.69,won,164/4,,West Indies
6277,,v New Zealand,26 Aug 2005,2,Bulawayo,37.2,4.39,lost,164,,India
6278,,v New Zealand,31 Dec 2005,1,Queenstown,47.2,3.46,lost,164,,Sri Lanka
6279,,v India,28 Mar 2006,2,Delhi,38.1,4.29,lost,164,,England
6280,,v Bangladesh,11 Oct 2006,2,Jaipur,36.4,4.47,won,164/0,,West Indies
6281,,v Sri Lanka,20 Jul 2007,2,Colombo (PSS),40.3,4.04,lost,164,,Bangladesh
6282,,v England,7 Oct 2007,1,Dambulla,41.1,3.98,lost,164,,Sri Lanka
6283,,v Sri Lanka,7 Oct 2007,2,Dambulla,46.5,3.50,won,164/8,,England
6284,,v Zimbabwe,21 Jan 2009,2,Dhaka,44.5,3.65,won,164/4,,Bangladesh
6285,,v Kenya,1 Jul 2010,2,Rotterdam,39.5,4.11,won,164/3,,Ireland
6286,,v Zimbabwe,14 Mar 2011,2,Pallekele,34.1,4.80,won,164/3,,Pakistan
6287,,v South Africa,16 Jan 2015,2,Durban,28.2,5.78,lost,164,,West Indies
6288,,v Bangladesh,10 Jul 2015,2,Dhaka,31.1,5.26,won,164/2,,South Africa
6289,,v West Indies,1 Nov 2015,2,Colombo (RPS),24.5,6.60,won,164/9,,Sri Lanka
6290,,v Sri Lanka,4 Feb 2017,2,Johannesburg,32.0,5.12,won,164/3,,South Africa
6291,,v India,4 Jun 2017,2,Birmingham,33.4,4.87,lost,164,,Pakistan
6292,,v England,14 Jan 1980,1,Sydney,48.4,3.34,lost,163,,Australia
6293,,v West Indies,19 Dec 1980,2,Lahore,40.0,4.07,lost,163/6,,Pakistan
6294,,v West Indies,9 Mar 1983,2,Port of Spain,39.0,4.17,lost,163/7,,India
6295,,v England,26 Mar 1984,1,Karachi,40.0,4.07,lost,163/8,,Pakistan
6296,,v India,3 Mar 1985,1,Melbourne,49.3,3.29,lost,163,,Australia
6297,,v England,24 May 1986,2,The Oval,47.2,3.44,won,163/1,,India
6298,,v England,24 Jan 1987,2,Adelaide,45.5,3.55,lost,163,,West Indies
6299,,v Pakistan,23 Feb 1990,2,Melbourne,45.5,3.55,won,163/3,,Australia
6300,,v South Africa,10 Mar 1992,1,Canberra,48.3,3.36,lost,163,,Zimbabwe
6301,,v Pakistan,16 Oct 1994,1,Karachi,50.0,3.26,lost,163/9,,South Africa
6302,,v India,5 Apr 1995,1,Sharjah,44.4,3.64,lost,163,,Bangladesh
6303,,v Sri Lanka,1 Jul 1998,2,Colombo (SSC),35.4,4.57,lost,163,,India
6304,,v Pakistan,8 Apr 1999,2,Sharjah,50.0,3.26,lost,163/6,,India
6305,,v Bangladesh,24 May 1999,2,Edinburgh,46.2,3.51,lost,163,,Scotland
6306,,v India,11 Sep 1999,1,Toronto,46.2,3.51,lost,163,,West Indies
6307,,v England,20 Feb 2000,2,Harare,46.5,3.48,lost,163,,Zimbabwe
6308,,v Sri Lanka,10 Apr 2001,2,Sharjah,42.1,3.86,lost,163,,New Zealand
6309,,v West Indies,16 May 2001,1,Kingstown,50.0,3.26,lost,163/7,,South Africa
6310,,v Australia,27 Sep 2002,2,Colombo (RPS),40.0,4.07,won,163/3,,Sri Lanka
6311,,v England,20 Dec 2002,2,Perth,43.4,3.73,lost,163,,Sri Lanka
6312,,v Australia,22 Dec 2002,2,Perth,43.0,3.79,lost,163,,Sri Lanka
6313,,v Australia,18 May 2003,1,Kingston,49.0,3.32,lost,163,,West Indies
6314,,v South Africa,28 Jan 2004,2,Port Elizabeth,42.4,3.82,lost,163,,West Indies
6315,,v Australia,23 Jan 2005,1,Sydney,39.2,4.14,lost,163,,Pakistan
6316,,v South Africa,29 Nov 2006,2,Port Elizabeth,38.1,4.27,lost,163,,India
6317,,v Pakistan,8 Jun 2008,2,Dhaka,40.0,4.07,lost,163/8,,Bangladesh
6318,,v Ireland,1 Jul 2010,1,Rotterdam,45.3,3.58,lost,163,,Kenya
6319,,v Ireland,6 Sep 2010,2,Toronto,33.0,4.93,won,163/4,,Canada
6320,,v Australia,18 Mar 2012,2,Kingstown,38.2,4.25,won,163/5,,West Indies
6321,,v Afghanistan,5 Jul 2012,1,Dublin,47.0,3.46,won,163,,Ireland
6322,,v India,3 Aug 2013,1,Bulawayo,39.5,4.09,lost,163,,Zimbabwe
6323,,v West Indies,2 Mar 2014,2,North Sound,44.5,3.63,won,163/7,,England
6324,,,,,,,,,,,
6325,,v Hong Kong,4 Nov 2016,2,Mong Kok,38.2,4.25,lost,163,,P.N.G.
6326,,v South Africa,4 Feb 2017,1,Johannesburg,39.2,4.14,lost,163,,Sri Lanka
6327,,v New Zealand,9 Dec 1980,1,Perth,47.4,3.39,won,162,,India
6328,,v England,4 Jun 1982,2,The Oval,55.0,2.94,lost,162/8,,India
6329,,v Australia,16 Jan 1986,2,Melbourne,40.2,4.01,won,162/2,,India
6330,,v India,24 May 1986,1,The Oval,55.0,2.94,lost,162,,England
6331,,v Pakistan,3 Jan 1990,2,Melbourne,41.0,3.95,won,162/3,,Australia
6332,,v Australia,23 Feb 1990,1,Melbourne,47.5,3.38,lost,162,,Pakistan
6333,,v Australia,11 Mar 1990,1,Auckland,49.2,3.28,lost,162,,New Zealand
6334,,v Zimbabwe,3 Mar 1992,1,Napier,20.5,7.77,won,162/3,,New Zealand
6335,,v Pakistan,15 Feb 1993,2,East London,30.1,5.37,lost,162,,South Africa
6336,,v India,16 Feb 1995,2,Napier,32.2,5.01,won,162/6,,New Zealand
6337,,v India,25 May 1996,2,Leeds,39.3,4.10,won,162/4,,England
6338,,v West Indies,8 Dec 1996,2,Sydney,42.0,3.85,won,162/2,,Australia
6339,,v Sri Lanka,20 May 1997,2,Hyderabad (Deccan),44.5,3.61,lost,162,,New Zealand
6340,,v Pakistan,20 Sep 1997,2,Toronto,25.3,6.35,won,162/3,,India
6341,,v West Indies,19 Sep 1999,2,Toronto,39.4,4.08,won,162/3,,Pakistan
6342,,v India,29 Sep 1999,2,Nairobi (Gym),50.0,3.24,lost,162,,Kenya
6343,,v Zimbabwe,30 Jan 2000,2,Kimberley,32.1,5.03,won,162/2,,England
6344,,v Sri Lanka,27 Sep 2002,1,Colombo (RPS),48.4,3.32,lost,162,,Australia
6345,,v Australia,5 Oct 2005,2,Melbourne (Docklands),41.3,3.90,lost,162,,ICC World XI
6346,,v Pakistan,16 Feb 2006,2,Multan,32.3,4.98,won,162/5,,India
6347,,v Kenya,20 Mar 2006,2,Khulna,23.5,6.79,won,162/1,,Bangladesh
6348,,v West Indies,14 May 2006,2,Port of Spain,49.0,3.30,lost,162,,Zimbabwe
6349,,v West Indies,20 Sep 2006,1,Kuala Lumpur,39.3,4.10,won,162,,India
6350,,v Bermuda,2 Feb 2007,1,Nairobi (Gym),21.0,7.71,won,162/8,,Canada
6351,,v Bangladesh,20 Mar 2008,2,Dhaka,38.3,4.20,lost,162,,Ireland
6352,,v New Zealand,18 Jun 2008,1,Birmingham,24.0,6.75,n/r,162,,England
6353,,v India,3 Mar 2009,2,Napier,28.0,5.78,lost,162/9,,New Zealand
6354,,v New Zealand,4 Mar 2011,1,Ahmedabad,46.2,3.49,lost,162,,Zimbabwe
6355,,v Netherlands,29 Jun 2011,2,Aberdeen,39.1,4.13,won,162/5,,Scotland
6356,,v Australia,3 Sep 2013,2,Edinburgh,43.5,3.69,lost,162,,Scotland
6357,,v Bangladesh,29 Oct 2013,2,Dhaka,29.5,5.43,lost,162,,New Zealand
6358,,v Australia,7 Oct 2014,2,Sharjah,36.3,4.43,lost,162,,Pakistan
6359,,v Bangladesh,18 Feb 2015,2,Canberra,42.5,3.78,lost,162,,Afghanistan
6360,,v Bangladesh,12 Jul 2015,1,Dhaka,46.0,3.52,lost,162,,South Africa
6361,,v Zimbabwe,5 Oct 2015,2,Harare,34.0,4.76,won,162/3,,Pakistan
6362,,v Pakistan,19 Dec 1981,2,Perth,42.2,3.80,won,161/3,,West Indies
6363,,v India,20 Dec 1981,1,Jalandhar,36.0,4.47,lost,161/7,,England
6364,,v Australia,8 Feb 1984,2,Sydney,43.1,3.72,won,161/1,,West Indies
6365,,v West Indies,2 Dec 1985,2,Peshawar,39.3,4.07,lost,161,,Pakistan
6366,,v Australia,9 Jan 1986,1,Melbourne,29.0,5.55,n/r,161/7,,New Zealand
6367,,v Australia,12 Jan 1986,1,Brisbane,43.0,3.74,lost,161,,India
6368,,v India,16 Jan 1986,1,Melbourne,44.2,3.63,lost,161,,Australia
6369,,v New Zealand,19 Jan 1986,2,Perth,45.1,3.56,won,161/6,,Australia
6370,,v New Zealand,12 Dec 1988,2,Cuttack,41.3,3.87,won,161/5,,India
6371,,v Australia,3 Jan 1990,1,Melbourne,50.0,3.22,lost,161,,Pakistan
6372,,v New Zealand,7 Dec 1990,2,Perth,43.5,3.67,won,161/6,,England
6373,,v England,13 Dec 1990,2,Sydney,48.1,3.34,lost,161,,New Zealand
6374,,v South Africa,13 Dec 1992,1,Johannesburg,50.0,3.22,lost,161/9,,India
6375,,,,,,,,,,,
6376,,v New Zealand,13 Mar 1994,1,Auckland,50.0,3.22,tied,161/9,,Pakistan
6377,,v Pakistan,13 Mar 1994,2,Auckland,49.4,3.24,tied,161,,New Zealand
6378,,v West Indies,15 Dec 1995,2,Adelaide,45.0,3.57,won,161/6,,Sri Lanka
6379,,v Pakistan,21 Sep 1996,2,Toronto,39.2,4.09,lost,161,,India
6380,,v Pakistan,23 Sep 1996,2,Toronto,45.5,3.51,lost,161,,India
6381,,v Australia,8 Dec 1996,1,Sydney,48.3,3.31,lost,161,,West Indies
6382,,v Bangladesh,31 May 1999,2,Northampton,44.3,3.61,lost,161,,Pakistan
6383,,v Pakistan,19 Sep 1999,1,Toronto,44.4,3.60,lost,161,,West Indies
6384,,v England,30 Jan 2000,1,Kimberley,50.0,3.22,lost,161/9,,Zimbabwe
6385,,v England,30 Oct 2000,2,Rawalpindi,43.3,3.70,won,161/4,,Pakistan
6386,,v Bangladesh,23 Nov 2001,2,Chittagong,42.2,3.80,won,161/5,,Zimbabwe
6387,,v India,16 Feb 2006,1,Multan,41.5,3.84,lost,161,,Pakistan
6388,,v Bangladesh,20 Mar 2006,1,Khulna,49.5,3.23,lost,161,,Kenya
6389,,v West Indies,11 Oct 2006,1,Jaipur,46.3,3.46,lost,161,,Bangladesh
6390,,v Sri Lanka,21 Jan 2009,2,Karachi,34.5,4.62,lost,161,,Pakistan
6391,,v West Indies,24 May 2009,2,Bristol,36.0,4.47,won,161/4,,England
6392,,v West Indies,14 Mar 2010,1,Kingstown,50.0,3.22,lost,161,,Zimbabwe
6393,,v New Zealand,11 Jul 2012,2,Basseterre,34.3,4.66,lost,161,,West Indies
6394,,v India,27 Aug 2014,2,Cardiff,38.1,4.21,lost,161,,England
6395,,v Pakistan,5 Oct 2015,1,Harare,38.5,4.14,lost,161,,Zimbabwe
6396,,v Zimbabwe,4 Jan 2016,2,Sharjah,45.0,3.57,lost,161,,Afghanistan
6397,,v Australia,9 Jun 1979,2,Lord's,47.1,3.39,won,160/4,,England
6398,,v India,25 Nov 1981,2,Ahmedabad,43.5,3.65,won,160/5,,England
6399,,v West Indies,19 Dec 1981,1,Perth,44.4,3.58,lost,160,,Pakistan
6400,,v New Zealand,17 Feb 1982,2,Dunedin,45.0,3.55,won,160/4,,Australia
